,sno,new_tweet_text,old_tweet_text,new_label,old_label,updated,
375,375,"RT @kare11: Vikings, Wilf Family pledge $100,000 to Hurricane Victims | http://t.co/8rH0quzp http://t.co/ZUComv1D via @kare11",Not Found,not_request,Not Found,0,1
376,376,"HURRICANE SANDY RELIEF BENEFIT Buzz's Lounge 8933 W Oakland Park Blvd, Fort Lauderdale, FL via BluesBobby Weinberg http://t.co/yJk5wvqS","HURRICANE SANDY RELIEF BENEFIT
Buzz's Lounge
8933 W Oakland Park Blvd, Fort Lauderdale, FL
via BluesBobby Weinberg http://t.co/yJk5wvqS",not_request,not_request,1,0
377,377,"RT @BriteSF: For the entire month of November, we're waiving all Eventbrite fees for Hurricane Sandy relief events. {blog} http://t.co/l ...","RT @BriteSF: For the entire month of November, we're waiving all Eventbrite fees for Hurricane Sandy relief events. {blog} http://t.co/l ...",not_request,not_request,1,0
378,378,"Big Bear, here's how we can help #Hurricane #Sandy survivors http://t.co/8GLnLlIW","Little Rock, here's how we can help #Hurricane #Sandy survivors http://t.co/OITY2zjQ",not_request,not_request,1,0
379,379,@Lizzie0904 @WhoopiGoldberg Try link for list how 2 help: How to Help Hurricane Sandy Victims - ABC News http://t.co/TTdIrIXx â¦ (via @ABC),@Lizzie0904 @WhoopiGoldberg Try link for list how 2 help: How to Help Hurricane Sandy Victims - ABC News http://t.co/TTdIrIXx … (via @ABC),not_request,request,1,1
380,380,iTunes Accepts Red Cross Donations for Hurricane Sandy Victims http://t.co/AkeAEIFG,iTunes Accepts Red Cross Donations for Hurricane Sandy Victims http://t.co/AkeAEIFG,not_request,request,1,1
381,381,"Summerlin, here's how we can help #Hurricane #Sandy survivors http://t.co/6CGPIFpD","Summerlin, here's how we can help #Hurricane #Sandy survivors http://t.co/6CGPIFpD",not_request,not_request,1,0
382,382,How you can still volunteer for Hurricane Sandy Relief #SandyVolunteer http://t.co/5BKIm34p,How you can still volunteer for Hurricane Sandy Relief #SandyVolunteer http://t.co/5BKIm34p,not_request,request,1,1
383,383,@EmWatson Can I get an RT!  Support Hurricane Sandy relief efforts by purchasing screensaver!  http://t.co/ka0pNFT5,@EmWatson Can I get an RT!  Support Hurricane Sandy relief efforts by purchasing screensaver!  http://t.co/ka0pNFT5,not_request,request,1,1
384,384,â@hockey_rumors: New York City Marathon Runners To Help Hurricane Sandy Victims In Staten Island http://t.co/V4bJI17Mâ true sportsmanship,“@hockey_rumors: New York City Marathon Runners To Help Hurricane Sandy Victims In Staten Island http://t.co/V4bJI17M” true sportsmanship,not_request,not_request,1,0
385,385,.@NHL encourages support for Hurricane #Sandy victims http://t.co/V46tlHOR,.@NHL encourages support for Hurricane #Sandy victims http://t.co/V46tlHOR,not_request,request,1,1
386,386,"Bethenny Frankel Donates $50,000 to Red Cross to Help With Hurricane Sandy Relief - Yahoo! Movies http://t.co/ikyIAvXb","Bethenny Frankel Donates $50,000 to Red Cross to Help With Hurricane Sandy Relief - Yahoo! Movies http://t.co/ikyIAvXb",not_request,not_request,1,0
387,387,Our Hearts go out to Hurricane Sandy Victims http://t.co/w7ga0H7E,Our Hearts go out to Hurricane Sandy Victims http://t.co/w7ga0H7E,not_request,not_request,1,0
388,388,Let's keep up the support for Hurricane #Sandy relief! Donate to @CityHarvest by redeeming your Delivery Points today. https://t.co/OaugxfGV,Let's keep up the support for Hurricane #Sandy relief! Donate to @CityHarvest by redeeming your Delivery Points today. https://t.co/OaugxfGV,not_request,request,1,1
389,389,"La Quinta, here's how we can help #Hurricane #Sandy survivors http://t.co/Ivx6Mjj4","La Quinta, here's how we can help #Hurricane #Sandy survivors http://t.co/Ivx6Mjj4",not_request,not_request,1,0
390,390,RT @HuffingtonPost: Lady Gaga donates $1 million to Red Cross for Hurricane Sandy Relief http://t.co/oKUj7IsG,RT @HuffingtonPost: Lady Gaga donates $1 million to Red Cross for Hurricane Sandy Relief http://t.co/oKUj7IsG,not_request,not_request,1,0
391,391,Please help the victims of Hurricane Sandy.Text REDCROSS to 90999 to donate $10 or call 1-800-help now (435-7669) Do what you can #SandyHelp,Please help the victims of Hurricane Sandy.Text REDCROSS to 90999 to donate $10 or call 1-800-help now (435-7669) Do what you can #SandyHelp,request,request,1,0
392,392,If you want to help those effected by hurricane Sandy email:Stjservice@Stjohns.edu with your information!!! #stjsgi #STJStormRelief,If you want to help those effected by hurricane Sandy email:Stjservice@Stjohns.edu with your information!!! #stjsgi #STJStormRelief,not_request,request,1,1
393,393,RT @NicquaSBaby: Amazing @Nyknicks Donating 1/2 a million for hurricane Sandy!,RT @NicquaSBaby: Amazing @Nyknicks Donating 1/2 a million for hurricane Sandy!,not_request,not_request,1,0
394,394,I didn't realize that the concert for hurricane Sandy relief is on tonight. Everyone please watch it tonight!,I didn't realize that the concert for hurricane Sandy relief is on tonight. Everyone please watch it tonight!,request,request,1,0
395,395,RT @pianoweatherman: @CocosWordofDay Please check out this video to help Hurricane Sandy displaced pets in need. http://t.co/C65cvXpr  P ...,RT @pianoweatherman: @Clowie_dog Hi Clowie. Please check out this video to help Hurricane Sandy displaced pets in need. http://t.co/C65c ...,request,request,1,0
396,396,Please follow this link to find out how you can help with the hurricane relief efforts. http://t.co/4c52QmkP,Please follow this link to find out how you can help with the hurricane relief efforts. http://t.co/4c52QmkP,request,request,1,0
397,397,Our #kids #book series sales this week will send 30% to #RedCross for Hurricane #Sandy relief. #kidlit #parenting - http://t.co/zd8xpLxS,Our #kids #book series sales this week will send 30% to #RedCross for Hurricane #Sandy relief. #kidlit #parenting - http://t.co/zd8xpLxS,not_request,request,1,1
398,398,Blusky is in their way to the Northeast to help with the hurricane relief efforts.  Our thoughts are with them as... http://t.co/hCN2ruK9,Blusky is in their way to the Northeast to help with the hurricane relief efforts.  Our thoughts are with them as... http://t.co/hCN2ruK9,not_request,not_request,1,0
399,399,"Please, please, please text 90999 and the word REDCROSS to donate $10 to everyone affected by Hurricane Sandy.",Not Found,request,Not Found,0,1
400,400,Want to help Hurricane Sandy victims? Check out the City Harvest website to make a donation or volunteer: http://t.co/DJTB6thY,Want to help Hurricane Sandy victims? Check out the City Harvest website to make a donation or volunteer: http://t.co/DJTB6thY,not_request,request,1,1
401,401,"Text REDCROSS to a girl and be like ""Oops wrong number, I was trying to donate money to the hurricane victims""   Works everytime","Text REDCROSS to a girl and be like ""Oops wrong number, I was trying to donate money to the hurricane victims""   Works everytime",not_request,not_request,1,0
402,402,Help the victims of Hurricane Sandy by donating to the United Way Hurricane Sandy Recovery Fund. Visit... http://t.co/YSytCTVQ,Help the victims of Hurricane Sandy by donating to the United Way Hurricane Sandy Recovery Fund. Visit... http://t.co/YSytCTVQ,request,request,1,0
403,403,Inspirerend: hurricane sandy relief t-shirt - I still love NY by sebastian errazuriz http://t.co/l4YOLW3c,Inspirerend: hurricane sandy relief t-shirt - I still love NY by sebastian errazuriz http://t.co/l4YOLW3c,not_request,not_request,1,0
404,404,@KyleRichards18 FUND RAISER FOR HURRICANE SANDY VICTIMS https://t.co/53j4z6UP my book is $2.99 all profit going to fund raiser - can U help?,@KyleRichards18 FUND RAISER FOR HURRICANE SANDY VICTIMS https://t.co/53j4z6UP my book is $2.99 all profit going to fund raiser - can U help?,not_request,request,1,1
405,405,How You Can Help: Hurricane Sandy Food And Fundraiser Roundup http://t.co/dlq80XvE,"How You Can Help: Hurricane Sandy Food And Fundraiser Roundup
 http://t.co/vyvnog1X",not_request,request,1,1
406,406,#Apple #News iTunes now accepts donations for Hurricane Sandy relief http://t.co/cJlKIDuW,#Apple #News iTunes now accepts donations for Hurricane Sandy relief http://t.co/cJlKIDuW,not_request,request,1,1
407,407,"Mary J Blige is on! ""Hurricane Sandy: Coming Together."" To help, call 1-800-Help-Now, text REDCROSS to 90999","Mary J Blige is on! ""Hurricane Sandy: Coming Together."" To help, call 1-800-Help-Now, text REDCROSS to 90999",request,request,1,0
408,408,"10 Ways To Not Waste This Weekend, If You Want To Help Hurricane Victims http://t.co/hBCOoMMf w/relief address for Breezy Point/Far Rockaway","10 Ways To Not Waste This Weekend, If You Want To Help Hurricane Victims http://t.co/hBCOoMMf w/relief address for Breezy Point/Far Rockaway",not_request,request,1,1
409,409,"There have been a lot of questions coming in about how to help the victims of #Hurricane Sandy, and I was told you... http://t.co/qGAmSpl1","There have been a lot of questions coming in about how to help the victims of #Hurricane Sandy, and I was told you... http://t.co/qGAmSpl1",not_request,request,1,1
410,410,"The NFL, player's union is donating $1M to American Red Cross for Hurricane Sandy relief....","The NFL, player's union is donating $1M to American Red Cross for Hurricane Sandy relief....",not_request,not_request,1,0
411,411,Please help those people who were affected by the Hurricane Sandy visit http://t.co/lzgdG53s or 1-800-HELP-NOW 1-800-435-7669,Not Found,request,Not Found,0,1
412,412,I REALLY want to donate to those who were hit by the hurricane.. Can't imagine what those people are going through #staystrong #eastcoast,I REALLY want to donate to those who were hit by the hurricane.. Can't imagine what those people are going through #staystrong #eastcoast,not_request,not_request,1,0
413,413,If The Hudson Overflows (Charity Single for Hurricane Sandy Relief) http://t.co/MGmDRYCK,If The Hudson Overflows (Charity Single for Hurricane Sandy Relief) http://t.co/MGmDRYCK,not_request,request,1,1
414,414,Volunteers Davis &amp; Gigi help out with supplies for hurricane victims in Staten Island #sandyaid http://t.co/4aqGBxH3,Volunteers Davis &amp; Gigi help out with supplies for hurricane victims in Staten Island #sandyaid http://t.co/4aqGBxH3,request,not_request,1,1
415,415,Would like to urge all citizens to make the proper preparations for Hurricane #Sandy - prep is key - http://t.co/LyCSprbk has valuable info!,Would like to urge all citizens to make the proper preparations for Hurricane #Sandy - prep is key - http://t.co/LyCSprbk has valuable info!,not_request,not_request,1,0
416,416,@iansomerhalder Does your foundation do anything to help the victims of the Hurricane?,@iansomerhalder Does your foundation do anything to help the victims of the Hurricane?,not_request,not_request,1,0
417,417,RT @nickmangold: Please help the Hurricane #Sandy relief efforts by visiting http://t.co/SbJaTkzO or by texting REDCROSS to 90999 to giv ...,RT @nickmangold: Please help the Hurricane #Sandy relief efforts by visiting http://t.co/SbJaTkzO or by texting REDCROSS to 90999 to giv ...,request,request,1,0
418,418,"""@KAKEYxxxx: Hope ppl in the hurricane is staying safe! Alot of people taking the situation real childishly ð""yup","""@KAKEYxxxx: Hope ppl in the hurricane is staying safe! Alot of people taking the situation real childishly 😒""yup",not_request,not_request,1,0
419,419,Those affected by Hurricane Sandy are in our thoughts and prayers. Help us help those in need: http://t.co/QrmRuhWZ,Those affected by Hurricane Sandy are in our thoughts and prayers. Help us help those in need: http://t.co/QrmRuhWZ,request,request,1,0
420,420,Donate to the Hurricane Sandy Relief Drive today at Brandsmart in WPB until 7pm. http://t.co/fhuIjvRJ,Donate to the Hurricane Sandy Relief Drive today at Brandsmart in WPB until 7pm. http://t.co/fhuIjvRJ,request,request,1,0
421,421,"#Springsteen, #BonJovi, #Sting: Hurricane Sandy relief benefit concert tonight on @CNBC 8pm ET. Help raise money for @RedCross! #SandyHelp","#Springsteen, #BonJovi, #Sting: Hurricane Sandy relief benefit concert tonight on @CNBC 8pm ET. Help raise money for @RedCross! #SandyHelp",request,request,1,0
422,422,"RT @DrOz: If you can, please help with the Hurricane Sandy relief effort. Every little bit helps! http://t.co/Fhb0sMhH","RT @DrOz: If you can, please help with the Hurricane Sandy relief effort. Every little bit helps! http://t.co/Fhb0sMhH",request,request,1,0
423,423,Watching telethon for victims of Hurricane Sandy. #MSNBC #sandy #HELP,Watching telethon for victims of Hurricane Sandy. #MSNBC #sandy #HELP,not_request,not_request,1,0
424,424,"After Hurricane #Sandy, faith-based organizations mobilize to help victims http://t.co/lUg6L7qY","After Hurricane #Sandy, faith-based organizations mobilize to help victims http://t.co/lUg6L7qY",not_request,not_request,1,0
425,425,"We'd like our fans to know that What We Do Radio has pledged $1,800 to Hurricane Sandy and all the victims in NYC.","We'd like our fans to know that What We Do Radio has pledged $1,800 to Hurricane Sandy and all the victims in NYC.",not_request,not_request,1,0
426,426,RT @Verizon_John: #Verizon Pledges $1.2 Million for Hurricane #Sandy Relief.  Text to donate options listed here: http://t.co/z9Ioe6KK,RT @Verizon_John: #Verizon Pledges $1.2 Million for Hurricane #Sandy Relief.  Text to donate options listed here: http://t.co/z9Ioe6KK,request,not_request,1,1
427,427,Wondering how you can help after Hurricane Sandy? So take a look at this @vivmag article! http://t.co/NqV4p0gY,Wondering how you can help after Hurricane Sandy? So take a look at this @vivmag article! http://t.co/NqV4p0gY,not_request,request,1,1
428,428,6 ways you can help Hurricane #Sandy victims http://t.co/b9jjthCw,6 ways you can help Hurricane #Sandy victims http://t.co/b9jjthCw,not_request,not_request,1,0
429,429,Buy a book to help Hurricane Sandy victims: http://t.co/dgJUBKt2 via @TheKevinBasil,Buy a book to help Hurricane Sandy victims: http://t.co/dgJUBKt2 via @TheKevinBasil,not_request,request,1,1
430,430,RT @HUNTERisBIZZY: Text redcross to 90999 donate to victims of hurricane Sandy.ALOT of us are blessed beyond @ #GETINTHELOOP ð¯ http://t. ...,RT @HUNTERisBIZZY: Text redcross to 90999 donate to victims of hurricane Sandy.ALOT of us are blessed beyond @ #GETINTHELOOP 🎯 http://t. ...,request,request,1,0
431,431,Chelsea Handler donates $100000 towards Hurricane Sandy relief - http://t.co/ZRUKKWg6: Examiner.comChelsea Handle... http://t.co/WretYu72,Chelsea Handler donates $100000 towards Hurricane Sandy relief - http://t.co/ZRUKKWg6: Examiner.comChelsea Handle... http://t.co/WretYu72,not_request,not_request,1,0
432,432,RT @ AylinSings RT @HurricaneSandyw: Each follower = $1 for Hurricane Sandy Relief. Please Retweet!,RT @ AylinSings RT @HurricaneSandyw: Each follower = $1 for Hurricane Sandy Relief. Please Retweet!,request,request,1,0
433,433,RT @DaveSilkin: Red Cross Hurricane Sandy Relief fund please donate. #hurricanesandy https://t.co/IVMJNltb,RT @DaveSilkin: Red Cross Hurricane Sandy Relief fund please donate. #hurricanesandy https://t.co/IVMJNltb,request,request,1,0
434,434,"Help those affected by #Hurricane #Sandy: DONATE to RED CROSS by TEXTING ""RedCross"" to 90999 or https://t.co/HR5EtcPz â¦","Help those affected by #Hurricane #Sandy: DONATE to RED CROSS by TEXTING ""RedCross"" to 90999 or https://t.co/HR5EtcPz …",request,request,1,0
435,435,Girl you're asking me to donate blood when there's a freaking hurricane outsideâ¦ #checkyourself,Girl you're asking me to donate blood when there's a freaking hurricane outside… #checkyourself,not_request,not_request,1,0
436,436,"RT @SavetheChildren: Text ""Hurricane"" to 20222 to support our #Sandy relief and recovery effort for kids and families. (Std. charges app ...","RT @SavetheChildren: Text ""Hurricane"" to 20222 to support our #Sandy relief and recovery effort for kids and families. (Std. charges app ...",request,request,1,0
437,437,"Online Consignment Shop ThredUP Launches Digital Fundraising Platform Called âGroups,â Now Raising Money For Hurricane http://t.co/FxC5cDEP","Online Consignment Shop ThredUP Launches Digital Fundraising Platform Called “Groups,” Now Raising Money For Hurricane http://t.co/FxC5cDEP",not_request,not_request,1,0
438,438,RT @trucker4america: Romney Campaign Bus Being Used For Hurricane Relief Efforts this is the man we need in office @PaulRyanVP @JimDeMin ...,RT @trucker4america: Romney Campaign Bus Being Used For Hurricane Relief Efforts this is the man we need in office @PaulRyanVP @JimDeMin ...,not_request,not_request,1,0
439,439,â@pixelworkers: Loren Brichter is donating his Letterpress tee proceeds to the Red Cross for hurricane relief. http://t.co/uWXsff57â,"“@pixelworkers: Loren Brichter is donating his Letterpress tee proceeds to the Red Cross for hurricane relief.

http://t.co/uWXsff57”",not_request,not_request,1,0
440,440,"Jimmie Johnson donating $ 48,000 to Red Cross, victims of Hurricane Sandy #NASCAR http://t.co/mKE4pU7Q","Jimmie Johnson donating $ 48,000 to Red Cross, victims of Hurricane Sandy #NASCAR http://t.co/mKE4pU7Q",not_request,not_request,1,0
441,441,New Update on District 9 Hurricane Sandy Relief #constantcontact http://t.co/QHyrKTGN,New Update on District 9 Hurricane Sandy Relief #constantcontact http://t.co/QHyrKTGN,not_request,not_request,1,0
442,442,RT @tmh416: #SandyNJ RT @nj1015: All You Need to Know to Help Out Hurricane Sandy Victims http://t.co/QJPdEsgz,RT @tmh416: #SandyNJ RT @nj1015: All You Need to Know to Help Out Hurricane Sandy Victims http://t.co/QJPdEsgz,not_request,request,1,1
443,443,"RT @dancingdogblog: It's easy to donate to victims of the Hurricane -- go to http://t.co/I4mj18uf or go to the RedCross site. $1, $5 wha ...",Not Found,not_request,Not Found,0,1
444,444,NFL-NFLPA to Donate $1 Million to Aid Those Impacted By Hurricane Sandy http://t.co/ZpgoDj9x,NFL-NFLPA to Donate $1 Million to Aid Those Impacted By Hurricane Sandy http://t.co/ZpgoDj9x,not_request,not_request,1,0
445,445,"RT @NBA: Help the @RedCross respond to those affected by Hurricane Sandy. http://t.co/560HzIY2 or text ""REDCROSS"" ... http://t.co/2kYmvroA","RT @NBA: Help the @RedCross respond to those affected by Hurricane Sandy. http://t.co/560HzIY2 or text ""REDCROSS"" ... http://t.co/2kYmvroA",request,request,1,0
446,446,"Shouts to D wade for donating his check for tonight's game to hurricane sandy relief. That's about $210,000",Not Found,not_request,Not Found,0,1
447,447,"RT @kevin_powell: NEW JERSEY, If you would like to volunteer for hurricane relief, call 1-800-Jersey-7.","RT @kevin_powell: NEW JERSEY, If you would like to volunteer for hurricane relief,
call 1-800-Jersey-7.",not_request,request,1,1
448,448,@MizzHogan Can you please ask impact wrestling to make a donation to help the victims of hurricane Sandy? They need the help badly.,@MizzHogan Can you please ask impact wrestling to make a donation to help the victims of hurricane Sandy? They need the help badly.,request,not_request,1,1
449,449,"@realDonaldTrump Because of the hurricane, you shouldn't need anyone's transcripts to donate to charity you swine.","@realDonaldTrump Because of the hurricane, you shouldn't need anyone's transcripts to donate to charity you swine.",not_request,not_request,1,0
450,450,"RT @awsamuel: Hey #socialmedia tweeps who want to help hurricane victims? Reach out to #FLASHCON folks who need your ideas, help to stop ...","RT @awsamuel: Hey #socialmedia tweeps who want to help hurricane victims? Reach out to #FLASHCON folks who need your ideas, help to stop ...",not_request,request,1,1
451,451,RT @FilmmakerMag: A Google Map showing Hurricane Sandy Relief Volunteer Opportunities in and around New York City. https://t.co/1a3zkdLH,RT @FilmmakerMag: A Google Map showing Hurricane Sandy Relief Volunteer Opportunities in and around New York City. https://t.co/1a3zkdLH,not_request,not_request,1,0
452,452,RT @TeamHendrick: .@Lowes to donate $1 million to help communities affected by Hurricane Sandy: http://t.co/jqebRQzd #NASCAR,Not Found,not_request,Not Found,0,1
453,453,David Lee Roth Dedicates Song To Hurricane Sandy Victims: http://t.co/Idlr4uBA,"David Lee Roth Dedicates Song To Hurricane Sandy Victims:
http://t.co/Idlr4uBA",not_request,not_request,1,0
454,454,"To all women, you can make a difference with Hurricane #Sandy relief! http://t.co/A1LFRLUL","To all women, you can make a difference with Hurricane #Sandy relief! http://t.co/A1LFRLUL",not_request,request,1,1
455,455,How You Can Help Victims of Hurricane Sandy: With thousands of people still out of power and millions of people ... http://t.co/n2mqgJQF,How You Can Help Victims of Hurricane Sandy: With thousands of people still out of power and millions of people ... http://t.co/n2mqgJQF,not_request,request,1,1
456,456,iTunes Accepting Red Cross Donations For Hurricane Sandy Victims http://t.co/P7EILCEK #Uncategorized #HurricaneSandy,iTunes Accepting Red Cross Donations For Hurricane Sandy Victims http://t.co/P7EILCEK #Uncategorized #HurricaneSandy,not_request,request,1,1
457,457,Tonight at 8 watch @nbc's telethon to help victims of Hurricane Sandy. Then donate to the @RedCross http://t.co/Pzndasoa,Tonight at 8 watch @nbc's telethon to help victims of Hurricane Sandy. Then donate to the @RedCross http://t.co/Pzndasoa,not_request,request,1,1
458,458,on @Slate - Is Occupy Wall Street Outperforming the Red Cross in Hurricane Relief? #Sandy @OccupySandy @njdotcom  http://t.co/yMOMomHD,on @Slate - Is Occupy Wall Street Outperforming the Red Cross in Hurricane Relief? #Sandy @OccupySandy @njdotcom  http://t.co/yMOMomHD,not_request,not_request,1,0
459,459,"I just donated to help hurricane sandy victims, by texting redcross to 90999, you can help to...","I just donated to help hurricane sandy victims, by texting redcross to 90999, you can help to...",not_request,not_request,1,0
460,460,News Release: Idaho Panhandle National Forests Supporting Hurricane Sandy Relief http://t.co/un9CRfZn,News Release: Idaho Panhandle National Forests Supporting Hurricane Sandy Relief http://t.co/un9CRfZn,not_request,not_request,1,0
461,461,-&gt;@Mashable: iTunes Accepting Red Cross Donations For Hurricane Sandy Victims http://t.co/Ya08PJ8M,-&gt;@Mashable: iTunes Accepting Red Cross Donations For Hurricane Sandy Victims http://t.co/Ya08PJ8M,not_request,request,1,1
462,462,RT @PiaToscano: Please tune watch Hurricane Sandy relief benefit concert on tonight @NBC â 8pm ET. Help raise money for @RedCross! #Sand ...,RT @jessetyler: I'll be watching the Hurricane Sandy relief benefit concert tonight @NBC – 8pm ET. Help raise money for @RedCross! #Sand ...,request,request,1,0
463,463,Hey Trump:why don't you give that $5M to the Red Cross to help with the hurricane instead of being a giant dick?BO's got bigger fish to fry.,Hey Trump:why don't you give that $5M to the Red Cross to help with the hurricane instead of being a giant dick?BO's got bigger fish to fry.,not_request,not_request,1,0
464,464,"RT @ThePaulyDPrjct: Help Us Help the Jersey Shore's Hurricane Sandy victims: MTV put Seaside Heights on the map in 2009, but on Mond...  ...","RT @ThePaulyDPrjct: Help Us Help the Jersey Shore's Hurricane Sandy victims: MTV put Seaside Heights on the map in 2009, but on Mond...  ...",request,request,1,0
465,465,How You Can Help: Hurricane Sandy Food And Fundraiser Roundup - Gothamist http://t.co/nORKA08V,How You Can Help: Hurricane Sandy Food And Fundraiser Roundup - Gothamist http://t.co/nORKA08V,not_request,request,1,1
466,466,We've just updated our blog with some useful resources for Hurricane Sandy relief efforts. Please comment here or... http://t.co/ueKtiyvD,We've just updated our blog with some useful resources for Hurricane Sandy relief efforts. Please comment here or... http://t.co/ueKtiyvD,request,request,1,0
467,467,oh yeah I made a donation to the Hurricane Sandy relief efforts if yall had cared or w/e,oh yeah I made a donation to the Hurricane Sandy relief efforts if yall had cared or w/e,not_request,not_request,1,0
468,468,"RT @richeisen: The Red Cross is providing lifesaving services, meals &amp; shelter to Hurricane Sandy victims. Text REDCROSS to 90999 to ...","RT @richeisen: The Red Cross is providing lifesaving services, meals &amp; shelter to Hurricane Sandy victims. Text REDCROSS to 90999 to ...",request,request,1,0
469,469,Check out how some brands are stepping up to help victims of Hurricane Sandy -- http://t.co/Y5CvRee8,Check out how some brands are stepping up to help victims of Hurricane Sandy -- http://t.co/Y5CvRee8,not_request,not_request,1,0
470,470,#HelpSandy Watching Hurricane Sandy: Coming Together. I just donated $10 by texting Redcross to 90999. Every penny helps. Pls help.,#HelpSandy Watching Hurricane Sandy: Coming Together. I just donated $10 by texting Redcross to 90999. Every penny helps. Pls help.,not_request,not_request,1,0
471,471,You can help too. Text Red Cross to 90999 #hurricane #sandy #redcross #disaster #relief http://t.co/GuOpYTN7,You can help too. Text Red Cross to 90999 #hurricane #sandy #redcross #disaster #relief http://t.co/GuOpYTN7,not_request,request,1,1
472,472,RT @Indradevsr: Viacom donates $1 million to Hurricane #Sandy relief efforts; company pledges additional $1 million through employee mat ...,RT @Indradevsr: Viacom donates $1 million to Hurricane #Sandy relief efforts; company pledges additional $1 million through employee mat ...,not_request,not_request,1,0
473,473,I like the Red Cross hurricane app http://t.co/MZEYdRbS,I like the Red Cross hurricane app http://t.co/MZEYdRbS,not_request,not_request,1,0
474,474,RT @HailoChicago: Hailo is supporting the @RedCross's hurricane relief efforts &amp; matching donations. Please help if you can: http:// ...,RT @HailoChicago: Hailo is supporting the @RedCross's hurricane relief efforts &amp; matching donations. Please help if you can: http:// ...,request,not_request,1,1
475,475,#FF Carla @BookMonsterRevi - friend to many in romance community. She's also in need of help after Hurricane Sandy http://t.co/BDz8lQ9N (RT),#FF Carla @BookMonsterRevi - friend to many in romance community. She's also in need of help after Hurricane Sandy http://t.co/BDz8lQ9N (RT),not_request,request,1,1
476,476,I'm raising money for The Danzilo's Hurricane Fund.. Click to Donate: http://t.co/ZVmXF4WG #gofundme,I'm raising money for The Danzilo's Hurricane Fund.. Click to Donate: http://t.co/ZVmXF4WG #gofundme,request,request,1,0
477,477,RT @Zendaya96: Hey Twitterverse!! text the word CONVOY to 50555 to donate $10 to Hurricane Sandy Relief efforts!!,RT @Zendaya96: Hey Twitterverse!! text the word CONVOY to 50555 to donate $10 to Hurricane Sandy Relief efforts!!,not_request,request,1,1
478,478,@makeitbetter Can y'all do something w/Red Cross wednesday night to collect $$s at entry gates for Hurricane Sandy victims?,@makeitbetter Can y'all do something w/Red Cross wednesday night to collect $$s at entry gates for Hurricane Sandy victims?,not_request,request,1,1
479,479,Shop for a cause: The Coveteur is now shoppable and today's proceeds go to Hurricane Sandy victims: http://t.co/Zl28YSD3 (cc @lauralanktree),Shop for a cause: The Coveteur is now shoppable and today's proceeds go to Hurricane Sandy victims: http://t.co/Zl28YSD3 (cc @lauralanktree),not_request,request,1,1
480,480,Please go to iTunes &amp; make a donation to the Red Cross to aid in Hurricane relief or text 90999 to give $10 #SandyHelp,Not Found,request,Not Found,0,1
481,481,RT @LibertyCityNYC: A Hurricane Relief Fund has been set up to prepare to help those in need http://t.co/nPcH7Qbd,RT @LibertyCityNYC: A Hurricane Relief Fund has been set up to prepare to help those in need http://t.co/nPcH7Qbd,not_request,request,1,1
482,482,RT @TINYCyouth: Making sandwiches for Hurricane Sandy Relief today! Thank you to Fairway Market for donating the food!,RT @TINYCyouth: Making sandwiches for Hurricane Sandy Relief today! Thank you to Fairway Market for donating the food!,not_request,not_request,1,0
483,483,"RT @CNBC: Kellogg Company pledges $500,000 to the Hurricane #Sandy relief efforts. ""Our thoughts are with all those impacted,"" said VP K ...","RT @CNBC: Kellogg Company pledges $500,000 to the Hurricane #Sandy relief efforts. ""Our thoughts are with all those impacted,"" said VP K ...",not_request,not_request,1,0
484,484,Chevy Donates 50 Trucks to Red Cross for Hurricane Sandy Storm Relief | Muncie Free Press http://t.co/TWGSCAvL,Chevy Donates 50 Trucks to Red Cross for Hurricane Sandy Storm Relief | Muncie Free Press http://t.co/TWGSCAvL,not_request,not_request,1,0
485,485,"Disney/ABC to Host 'Day of Giving,' to Help Those Affected by Hurricane Sandy... http://t.co/tHMsQeWN","Disney/ABC to Host 'Day of Giving,' to Help Those Affected by Hurricane Sandy... 
http://t.co/tHMsQeWN",not_request,not_request,1,0
486,486,Yup! @MsLuxeSociety: I just donated Money to Red Cross for Victims of Hurricane #Sandy. You should too! Please ... http://t.co/X3BShYbr,Yup! @MsLuxeSociety: I just donated Money to Red Cross for Victims of Hurricane #Sandy. You should too! Please ... http://t.co/X3BShYbr,request,not_request,1,1
487,487,if you would like to help those who were impacted by Hurricane Sandy-- Please donate to the American Red Cross... http://t.co/ja7CKmc0,if you would like to help those who were impacted by Hurricane Sandy-- Please donate to the American Red Cross... http://t.co/ja7CKmc0,request,request,1,0
488,488,RT @westelm: All west elm stores are now collecting clean blankets and throws to donate to the victims of Hurricane Sandy. Give warmth.,RT @westelm All West Elm stores are  collecting clean blankets to donate to the victims of Hurricane #Sandy. Give warmth.,not_request,not_request,1,0
489,489,Housebound: Proceeds to Benefit The Red Cross's Hurricane Sandy Fund http://t.co/hdrDJ6c9 http://t.co/MmJtgzsG,Housebound: Proceeds to Benefit The Red Cross's Hurricane Sandy Fund http://t.co/hdrDJ6c9 http://t.co/MmJtgzsG,not_request,request,1,1
490,490,How can YOU help those affected by hurricane Sandy? http://t.co/uAPAoWa2,How can YOU help those affected by hurricane Sandy? http://t.co/uAPAoWa2,not_request,request,1,1
